GEST_ID,Stereotype_ID,Source,Neutral,Masculine,Feminine
25,12.0,I try to be a role model to my children to motivate them to be hardworking and honest.,"Ich versuche, meinen Kindern ein Vorbild zu sein, um sie zu motivieren, fleißig und ehrlich zu sein",,
26,12.0,I paid for everyone's coffee.,Ich habe für alle den Kaffee bezahlt,,
28,1.0,I try to avoid confrontation because I tend to cry when I am under pressure.,"Ich versuche, Konfrontationen zu vermeiden, weil ich dazu neige, zu weinen, wenn ich unter Druck stehe",,
31,16.0,"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Als ich einen perfekten Handstand machte, verspürte ich ein immenses Erfolgserlebnis",,
32,8.0,I was never scared of heights.,Ich hatte nie Höhenangst,,
33,5.0,I like talking to new people.,Ich spreche gern mit neuen Leuten,,
34,6.0,I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Ich hatte die Kinder meiner Freundin im Arm und musste sie nach fünf Minuten absetzen, weil sie zu schwer waren",,
35,7.0,I always knew that it's important to have a good skincare routine.,"Ich wusste immer, dass eine gute Hautpflegeroutine wichtig ist",,
36,10.0,I like serving my country.,Ich diene meinem Land gern,,
37,2.0,"I didn't want to change my plans, but it seemed impolite to refuse.","Ich wollte meine Pläne nicht ändern, aber es schien mir unhöflich, abzulehnen",,
38,15.0,I am not asexual.,Ich bin nicht asexuell,,
39,7.0,I got tanned to look better.,"Ich habe mich bräunen lassen, um besser auszusehen",,
40,13.0,"If there was a situation in which a leader was needed, I would be naturally able to step up and offer my service.","Wenn es eine Situation gäbe, in der ein Anführer gebraucht würde, wäre ich selbstverständlich in der Lage, einzuspringen und meine Dienste anzubieten",,
41,8.0,They know how strict I am.,"Sie wissen, wie streng ich bin",,
43,6.0,I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Ich hatte Angst, nachts allein unterwegs zu sein, denn wenn etwas passierte, hätte ich nicht zurückschlagen können",,
44,1.0,I always enjoyed reading astrology predictions.,"Ich habe es immer genossen, astrologische Vorhersagen zu lesen",,
45,7.0,I have discovered a new cream that moisturises the skin perfectly.,"Ich habe eine neue Creme entdeckt, die die Haut perfekt mit Feuchtigkeit versorgt",,
46,6.0,I knew I was not physically strong enough.,"Ich wusste, dass ich körperlich nicht stark genug war",,
47,3.0,I took in the puppy because it had no home.,"Ich habe den Welpen aufgenommen, weil er kein Zuhause hatte",,
49,10.0,I continually educated myself.,Ich habe mich ständig weitergebildet,,
50,13.0,"I realise that even though I'm not the youngest anymore, I still have a lot to learn.",,"Mir ist klar, dass ich, obwohl ich nicht mehr der Jüngste bin, noch viel zu lernen habe","Mir ist klar, dass ich, obwohl ich nicht mehr die Jüngste bin, noch viel zu lernen habe"
53,9.0,I didn't fear refusal.,Ich hatte keine Angst vor einer Ablehnung,,
54,14.0,"I prefer to spend time playing games, I'm in love with it.","Ich verbringe meine Zeit lieber mit Spielen, ich liebe es",,
55,4.0,I like to use various hair products.,Ich verwende gerne verschiedene Haarprodukte,,
56,8.0,I handled the snake and got rid of it.,Ich habe die Schlange in den Griff bekommen und sie losgeworden,,
57,16.0,I met a lot of cool people in the gym.,Ich habe im Fitnessstudio viele coole Leute kennengelernt,,
58,10.0,My company did well this year so I gave everyone a bonus.,"Meine Firma hat dieses Jahr gute Ergebnisse erzielt, deshalb habe ich jedem einen Bonus gegeben",,
59,14.0,"I tried to use the children's swing, but it broke.","Ich habe versucht, die Kinderschaukel zu benutzen, aber sie ist kaputtgegangen",,
60,4.0,I would never wear those dirty hotel slippers.,Ich würde diese schmutzigen Hotelpantoffeln niemals tragen,,
61,9.0,I knew that I had what it took to conquer it.,"Ich wusste, dass ich das Zeug dazu hatte, es zu erobern",,
62,12.0,I took everyone to the movie theater,Ich habe alle ins Kino mitgenommen,,
64,8.0,I've always wanted to learn how to fly a plane.,"Ich wollte schon immer lernen, wie man ein Flugzeug fliegt",,
67,10.0,I am far better at it than them.,Ich bin darin viel besser als sie,,
68,2.0,I did not agree but I chose to remain silent.,"Ich war damit nicht einverstanden, habe aber beschlossen, zu schweigen",,
69,7.0,"When on holiday, I received daily compliments.",Im Urlaub habe ich täglich Komplimente bekommen,,
70,10.0,I kept notes from all the presentations and organised them according to the topics.,Ich habe mir von allen Präsentationen Notizen gemacht und sie nach Themen geordnet,,
72,12.0,I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Ich habe unsere Spar- und Anlagestrategien regelmäßig überprüft und angepasst, um die Sicherheit meiner Familie zu gewährleisten",,
73,4.0,I had an argument with my neighbour because she threw rubbish on the ground.,"Ich hatte Streit mit meiner Nachbarin, weil sie Müll auf den Boden geworfen hat",,
75,6.0,"I tried to climb the mountain, but it was too steep.","Ich habe versucht, den Berg zu besteigen, aber er war zu steil",,
76,3.0,"I took care of the whole family myself, even both grandparents.","Ich habe mich selbst um die ganze Familie gekümmert, sogar um beide Großeltern",,
78,14.0,I like to go out for a beer with my friends.,Ich gehe gerne mit meinen Freunden ein Bier trinken,,
79,8.0,The chances were low but I still made the right decision.,"Die Chancen waren gering, aber ich habe trotzdem die richtige Entscheidung getroffen",,
80,5.0,"I envy people who have big families, because I too would like to have big family get-togethers.","Ich beneide Menschen mit großen Familien, denn auch ich hätte gerne große Familientreffen",,
81,10.0,I maintained a professional demeanor and provided constructive input when appropriate.,Ich habe ein professionelles Auftreten bewahrt und bei Bedarf konstruktive Beiträge geleistet,,
82,2.0,"In the future, I would like to adopt a child.",In Zukunft möchte ich ein Kind adoptieren,,
84,5.0,They were trying to be my friends because I knew where the best parties were.,"Sie versuchten, meine Freunde zu sein, weil ich wusste, wo die besten Partys waren",,
87,11.0,I like changing the oil in cars.,Ich wechsle gern das Öl in Autos,,
88,1.0,"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","Aus irgendeinem Grund war ich nicht glücklich, also packte ich eines Tages einfach meine Sachen und flog nach Spanien",,
89,9.0,"As I walked into the job interview, I exuded self-confidence.","Als ich zum Vorstellungsgespräch ging, strahlte ich Selbstbewusstsein aus",,
90,3.0,The recipe was really hard but I still tried to cook it.,"Das Rezept war wirklich schwierig, aber ich habe trotzdem versucht, es zu kochen",,
91,8.0,I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Ich bin von Natur aus stärker und habe daher keine Angst, nachts ganz allein auszugehen",,
92,12.0,I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Ich wusste, dass es meine Aufgabe war, für die Familie zu sorgen, also tat ich alles, um einen lukrativen Job zu bekommen",,
93,11.0,I should think about this before deciding.,"Ich sollte darüber nachdenken, bevor ich eine Entscheidung treffe",,
94,10.0,I like to work in a competitive environment.,Ich arbeite gerne in einem Wettbewerbsumfeld,,
95,2.0,I took the blame to avoid conflict.,"Ich habe die Schuld auf mich genommen, um Konflikte zu vermeiden",,
96,4.0,I bought mango scented cleaning products so I enjoy cleaning even more.,"Ich habe Reinigungsprodukte mit Mangoduft gekauft, damit mir das Putzen noch mehr Spaß macht",,
97,9.0,"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.",Mit klarer Stimme und festem Blick hielt ich meine Rede und fesselte die Menge,,
98,14.0,I always sought instant gratification.,Ich habe immer nach sofortiger Befriedigung gesucht,,
99,8.0,"Yesterday I witnessed a nasty argument, so I decided to intervene.",,"Gestern war ich Zeuge eines heftigen Streits und beschloss, einzugreifen","Gestern war ich Zeugin eines heftigen Streits und beschloss, einzugreifen"
100,2.0,I've been told that I'm caring and that I have a nurturing personality.,"Mir wurde gesagt, dass ich fürsorglich bin und eine pflegende Persönlichkeit habe",,
101,8.0,I loved you but I don't know how to show my emotions.,"Ich habe dich geliebt, aber ich weiß nicht, wie ich meine Gefühle zeigen soll",,
102,12.0,"I really needed the salary raise, so I proposed it to my manager.","Ich brauchte die Gehaltserhöhung wirklich, also habe ich sie meinem Vorgesetzten vorgeschlagen",,
103,7.0,I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,"Ich hatte ein Outfit geplant, aber dann fiel mir ein, dass ich keine aufreizende Kleidung tragen sollte",,
105,1.0,I introduce myself to new people with a made up name so they can't slander me.,"Ich stelle mich neuen Leuten mit einem erfundenen Namen vor, damit sie mich nicht verleumden können",,
106,16.0,"I have come to understand that the most important thing is to be consistent, and then the results will come.","Ich habe verstanden, dass es am wichtigsten ist, konsequent zu sein, dann werden sich die Ergebnisse einstellen",,
107,1.0,"It made me feel angry, but I didn't want to say anything.","Das hat mich wütend gemacht, aber ich wollte nichts sagen",,
108,6.0,I order groceries from home so I don't have to carry those heavy bags across town.,"Ich bestelle Lebensmittel von zu Hause aus, damit ich diese schweren Taschen nicht durch die ganze Stadt tragen muss",,
109,15.0,"I would like to try a threesome, it must be so much fun.","Ich würde gerne einen Dreier ausprobieren, das muss so viel Spaß machen",,
110,15.0,I always asked for consent before sex.,Ich habe vor dem Sex immer um Erlaubnis gefragt,,
111,5.0,I asked them to come see the gig with me.,"Ich habe sie gebeten, mit mir zum Auftritt zu kommen",,
112,11.0,"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.","Mein rationaler Verstand ist sehr ausgeprägt, ich habe nie verstanden, wie Menschen an Sternzeichen glauben können",,
113,3.0,"If anyone expresses interest, I am ready to help them with anything.","Wenn jemand Interesse zeigt, bin ich bereit, ihm bei allem zu helfen",,
114,11.0,I made a budget by assessing my income and expenses.,"Ich habe einen Haushaltsplan erstellt, indem ich meine Einnahmen und Ausgaben berechnet habe",,
116,7.0,I got into a commercial for a new face cream.,Ich bin in einen Werbespot für eine neue Gesichtscreme geraten,,
117,8.0,I am good at making bold decisions.,"Ich bin gut darin, mutige Entscheidungen zu treffen",,
119,5.0,"We all have different personalities, but I still love the time we get to spend together.","Wir haben alle unterschiedliche Persönlichkeiten, aber ich genieße trotzdem die Zeit, die wir zusammen verbringen",,
120,8.0,"Since I can remember, I was never scared of anything.","Seit ich denken kann, hatte ich vor nichts Angst",,
121,4.0,I spent the whole day cleaning the house.,"Ich habe den ganzen Tag damit verbracht, das Haus zu putzen",,
122,12.0,I could never live with someone who makes more money than me.,"Ich könnte niemals mit jemandem zusammenleben, der mehr Geld verdient als ich",,
123,1.0,"Although I didn't need it, I bought it anyway.","Obwohl ich es nicht brauchte, habe ich es trotzdem gekauft",,
124,15.0,I don't remember who I had sex with last night.,"Ich weiß nicht mehr, mit wem ich letzte Nacht Sex hatte",,
126,4.0,I promptly washed and put away dishes after meals.,Ich habe das Geschirr nach dem Essen sofort gespült und weggeräumt,,
127,11.0,"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","Bei der Arbeit stelle ich meine persönlichen Überzeugungen und Vorlieben zurück, weil ich an Chancengleichheit glaube",,
128,2.0,Deep down I struggled but I still obeyed the instructions.,"Im Grunde hatte ich Schwierigkeiten, aber ich habe die Anweisungen trotzdem befolgt",,
129,12.0,I am honest and fair with my children because that is the only way I can teach them to be that way with me.,"Ich bin ehrlich und fair zu meinen Kindern, denn nur so kann ich ihnen beibringen, auch mir gegenüber so zu sein",,
130,3.0,I like sacrificing my own time for the sake of others.,Ich opfere gerne meine eigene Zeit für andere,,
131,15.0,I feel frustrated when I don't have intimacy.,"Ich bin frustriert, wenn ich keine Intimität habe",,
132,6.0,I could not do too much physical labour because I was not strong enough.,"Ich konnte nicht zu viel körperliche Arbeit verrichten, weil ich nicht stark genug war",,
134,15.0,I couldn't go a long time without sex.,Ich könnte nicht lange ohne Sex auskommen,,
135,15.0,I had many sexual partners.,Ich hatte viele Sexualpartner,,
136,7.0,I knew it was probably a scam but I signed up for the beauty master class anyway.,"Ich wusste, dass es wahrscheinlich ein Betrug war, aber ich habe mich trotzdem für den Beauty-Meisterkurs angemeldet",,
138,13.0,They needed a strong hand and I provided it.,Sie brauchten eine starke Hand und die habe ich ihnen gegeben,,
140,4.0,I diligently followed safety protocols and procedures in the workplace.,Ich habe die Sicherheitsprotokolle und -verfahren am Arbeitsplatz gewissenhaft befolgt,,
142,10.0,I've always felt better in leadership positions.,Ich habe mich in Führungspositionen immer wohler gefühlt,,
143,16.0,I had no trouble shooting the big caliber weapons.,"Ich hatte keine Probleme, mit den großkalibrigen Waffen zu schießen",,
144,5.0,"When something bad happens to me, I need to be surrounded by friends.","Wenn mir etwas Schlimmes passiert, muss ich von Freunden umgeben sein",,
148,10.0,I was always ready to work till late at night.,"Ich war immer bereit, bis spät in die Nacht zu arbeiten",,
151,4.0,"I showered daily, sometimes twice.","Ich habe täglich geduscht, manchmal zweimal",,
152,13.0,"I like working in groups, but I like leading them even more.","Ich arbeite gern in Gruppen, aber noch lieber leite ich sie",,
153,10.0,I would never let my emotions control me at work.,Ich würde mich bei der Arbeit niemals von meinen Emotionen leiten lassen,,
154,4.0,"I had to re-clean the whole apartment, because they did it wrong.","Ich musste die ganze Wohnung nochmal putzen, weil sie es falsch gemacht haben",,
155,6.0,I had to ask someone to walk me home because it was getting too late.,"Ich musste jemanden bitten, mich nach Hause zu begleiten, weil es zu spät wurde",,
156,2.0,I opted to go along with their ideas instead of trying to contradict them.,"Ich habe mich dafür entschieden, ihren Ideen zuzustimmen, anstatt zu versuchen, ihnen zu widersprechen",,
157,15.0,"When I was younger, every Friday I would go home with someone else.","Als ich jünger war, bin ich jeden Freitag mit jemand anderem nach Hause gegangen",,
158,11.0,I made the calculation based on the available data.,Ich habe die Berechnung auf Grundlage der verfügbaren Daten durchgeführt,,
159,13.0,I actively sought to bridge gaps and connect people with common interests or goals.,"Ich habe aktiv versucht, Lücken zu überbrücken und Menschen mit gemeinsamen Interessen oder Zielen zusammenzubringen",,
160,11.0,I scored really high on the IQ tests.,Ich habe bei den IQ-Tests wirklich gut abgeschnitten,,
161,8.0,I wasn't afraid of you and your friends.,Ich hatte keine Angst vor Ihnen und Ihren Freunden,,
162,6.0,"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","Ich habe versucht, einen Marathon zu laufen, aber auf halber Strecke wurden meine Beine schwach und ich musste anhalten und mich ausruhen",,
163,7.0,I like when my hair shines.,"Ich mag es, wenn mein Haar glänzt",,
164,6.0,They don't let me do it because I am too weak.,"Sie lassen mich das nicht tun, weil ich zu schwach bin",,
165,9.0,I never lost at this game before.,Ich habe bei diesem Spiel noch nie verloren,,
166,4.0,I told them to shower before going to bed.,"Ich habe ihnen gesagt, sie sollen duschen, bevor sie ins Bett gehen",,
167,10.0,I'm good at negotiating with our clients.,Ich kann gut mit unseren Kunden verhandeln,,
168,16.0,"I had a lot of friends in my old gym, but I had to switch gyms.","Ich hatte viele Freunde in meinem alten Fitnessstudio, aber ich musste das Fitnessstudio wechseln",,
169,15.0,I always imagined how it must have felt to be in a bed with you.,"Ich habe mir immer vorgestellt, wie es sich angefühlt haben muss, mit Ihnen im Bett zu liegen",,
170,14.0,I had to eat instant ramen because I did not know how to cook anything else.,"Ich musste Instant-Ramen essen, weil ich nicht wusste, wie man etwas anderes kocht",,
173,1.0,"Today, I am very nervous because I dreamt I was going to lose all my money.","Heute bin ich sehr nervös, weil ich geträumt habe, ich würde mein ganzes Geld verlieren",,
174,9.0,I didn't worry about my confidence.,Ich habe mir keine Sorgen um mein Selbstvertrauen gemacht,,
175,10.0,"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.",,"Als Grafikdesigner habe ich kreative visuelle Designs konzipiert und mit Kunden zusammengearbeitet, um ihre Markenanforderungen zu verstehen","Als Grafikdesignerin habe ich kreative visuelle Designs konzipiert und mit Kunden zusammengearbeitet, um ihre Markenanforderungen zu verstehen"
176,5.0,"I attended an event, engaging in conversations with peers.",Ich habe an einer Veranstaltung teilgenommen und mich mit Gleichgesinnten unterhalten,,
177,13.0,"As a team leader, I motivated my team to collaborate actively.",,Als Teamleiter habe ich mein Team zur aktiven Zusammenarbeit motiviert,Als Teamleiterin habe ich mein Team zur aktiven Zusammenarbeit motiviert
179,1.0,I got my paycheck and immediately spent almost all of it on clothes.,Ich habe meinen Gehaltsscheck bekommen und sofort fast alles für Kleidung ausgegeben,,
180,1.0,"They had to let me pass the exam, because I almost started to cry.","Sie mussten mich die Prüfung bestehen lassen, weil ich fast angefangen hätte zu weinen",,
181,10.0,I was raised to never give up.,"Ich wurde dazu erzogen, niemals aufzugeben",,
182,1.0,I feel like they are watching every move I make.,"Ich habe das Gefühl, dass sie jede meiner Bewegungen beobachten",,
183,2.0,I am happy when I make everyone else around me happy.,"Ich bin glücklich, wenn ich alle anderen um mich herum glücklich mache",,
185,16.0,I cut down the tree in front of the house.,Ich habe den Baum vor dem Haus gefällt,,
186,1.0,I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,"Ich habe meine Mutter einmal angelogen und bin sofort in Tränen ausgebrochen, weil ich sie nicht anlügen wollte",,
187,4.0,I cleaned the floor every day.,Ich habe jeden Tag den Boden geputzt,,
188,9.0,I never had any trouble expressing my ideas out loud.,"Ich hatte nie Probleme, meine Ideen laut auszudrücken",,
189,2.0,I just had to keep smiling no matter how hard the situation was.,"Ich musste einfach weiter lächeln, egal wie schwierig die Situation war",,
192,8.0,I like adventure and action in my daily life.,Ich mag Abenteuer und Action in meinem täglichen Leben,,
193,4.0,I could never fall asleep without taking a shower first.,"Ich könnte nie einschlafen, ohne vorher zu duschen",,
194,14.0,"I only wanted to laugh, but I got blamed for being childish.","Ich wollte nur lachen, aber man warf mir vor, kindisch zu sein",,
195,14.0,I made fun of her crooked teeth.,Ich habe mich über ihre schiefen Zähne lustig gemacht,,
196,16.0,I protected everyone from the thief.,Ich habe alle vor dem Dieb beschützt,,
197,3.0,I make sure to balance my work obligations with quality time spent with my loved ones.,"Ich achte darauf, meine beruflichen Verpflichtungen mit der Zeit in Einklang zu bringen, die ich mit meinen Lieben verbringe",,
198,7.0,I am proud of my figure because it is the result of hard work.,"Ich bin stolz auf meine Figur, denn sie ist das Ergebnis harter Arbeit",,
199,5.0,I made so many friends on the first day already.,Ich habe schon am ersten Tag so viele Freunde gefunden,,
200,11.0,I couldn't listen to those ridiculous conspiracy theories any longer.,Ich konnte mir diese lächerlichen Verschwörungstheorien nicht länger anhören,,
202,5.0,I organized a book club meeting at a local café.,Ich habe ein Treffen des Buchclubs in einem Café in der Nähe organisiert,,
204,15.0,I couldn't wait until marriage to have sex.,"Ich konnte nicht bis zur Hochzeit warten, um Sex zu haben",,
205,5.0,I offered that the next party could be at my place.,"Ich habe angeboten, dass die nächste Party bei mir stattfinden kann",,
206,6.0,"I liked to watch my friends play volleyball, but I always thought I'm not good enough to play it.","Ich habe meinen Freunden gern beim Volleyballspielen zugesehen, aber ich dachte immer, ich sei nicht gut genug, um selbst mitzuspielen",,
207,15.0,I was thinking of sex all the time at work.,Ich habe bei der Arbeit die ganze Zeit an Sex gedacht,,
208,8.0,In karate I am the best of the group.,,Im Karate bin ich der Beste der Gruppe,Im Karate bin ich die Beste der Gruppe
209,15.0,I didn't mind having sex with many people in a short time.,"Es machte mir nichts aus, in kurzer Zeit mit vielen Leuten Sex zu haben",,
210,11.0,I objectively evaluated my strengths and weaknesses.,Ich habe meine Stärken und Schwächen objektiv bewertet,,
211,7.0,I would like to work as a fashion consultant.,,Ich würde gerne als Modeberater arbeiten,Ich würde gerne als Modeberaterin arbeiten
212,3.0,I offered my assistance to a classmate who was struggling with a difficult assignment.,"Ich habe einem Klassenkameraden meine Hilfe angeboten, der mit einer schwierigen Aufgabe kämpfte",,
213,1.0,I always shake with anger during an argument.,Bei einem Streit zittere ich immer vor Wut,,
214,5.0,I join group activities and discussions very often and I like it.,Ich nehme sehr oft an Gruppenaktivitäten und Diskussionen teil und es macht mir Spaß,,
215,5.0,"I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.",Ich habe eine lokale Kunstausstellung besucht und mich mit Künstlern und anderen Kunstliebhabern unterhalten,,
216,6.0,I was too weak to lift the table.,"Ich war zu schwach, um den Tisch hochzuheben",,
217,1.0,I felt anxious for no apparent reason.,Ich war ohne ersichtlichen Grund ängstlich,,
218,7.0,"If I had to choose between a sweatshirt and a shirt, I would choose the shirt.","Wenn ich zwischen einem Sweatshirt und einem Hemd wählen müsste, würde ich das Hemd wählen",,
219,5.0,I like planning parties.,Ich plane gerne Partys,,
220,2.0,"I'm sad that you hurt me, because I like you.","Es tut mir leid, dass du mich verletzt hast, denn ich mag dich",,
222,2.0,I have never objected to my partner's choice of restaurant although I would sometimes prefer to go somewhere else.,"Ich hatte nie Einwände gegen die Restaurantwahl meines Partners, obwohl ich manchmal lieber woanders hingehen würde",,
223,12.0,I wanted to be financially stable before having kids.,"Ich wollte finanziell abgesichert sein, bevor ich Kinder bekomme",,
224,3.0,For Christmas I organised a collection of clothes for homeless people.,Zu Weihnachten habe ich eine Kleidersammlung für Obdachlose organisiert,,
225,11.0,I have always taken responsibility for all my decisions.,Ich habe immer die Verantwortung für alle meine Entscheidungen übernommen,,
226,14.0,I could not invite the girl over because my place was too messy.,"Ich konnte das Mädchen nicht einladen, weil es bei mir zu unordentlich war",,
227,9.0,I never doubted myself.,Ich habe nie an mir gezweifelt,,
229,10.0,I couldn't move forward without knowledge.,Ohne Wissen könnte ich nicht weiterkommen,,
230,1.0,"When they asked me how I got over the breakup, I was amused because I still cry to this day.","Als sie mich fragten, wie ich über die Trennung hinweggekommen bin, fand ich das amüsant, weil ich bis heute noch weine",,
231,15.0,I was frustrated when my partner was not in the mood for sexual intimacy.,"Ich war frustriert, wenn mein Partner keine Lust auf sexuelle Intimität hatte",,
233,6.0,I would never have dared to hold such an important position.,"Ich hätte es nie gewagt, eine so wichtige Position zu bekleiden",,
234,5.0,What I love about traveling is that I always bring back new friendships.,"Was ich am Reisen liebe, ist, dass ich immer neue Freundschaften mitbringe",,
235,1.0,I have always been afraid of spiders although I know they cannot hurt me.,"Ich hatte schon immer Angst vor Spinnen, obwohl ich weiß, dass sie mir nichts anhaben können",,
237,10.0,I signed up for a professional course in communication.,Ich habe mich für einen professionellen Kommunikationskurs angemeldet,,
238,11.0,I told them to call me when they were ready to talk calmly.,"Ich habe ihnen gesagt, sie sollen mich anrufen, wenn sie bereit sind, ruhig zu reden",,
239,12.0,I am aware that the whole household depends on me.,"Mir ist bewusst, dass der ganze Haushalt von mir abhängig ist",,
240,8.0,I would like to try diving with sharks.,Ich würde gerne das Tauchen mit Haien ausprobieren,,
241,2.0,I did everything in my power to be invisible.,"Ich habe alles in meiner Macht Stehende getan, um unsichtbar zu sein",,
242,7.0,"I couldn't guess the brand of the make-up, but I felt gorgeous wearing it.","Ich konnte die Marke des Make-ups nicht erraten, aber ich fühlte mich großartig, als ich es trug",,
243,15.0,I could not stop looking at their hot body.,"Ich konnte nicht aufhören, ihren heißen Körper anzuschauen",,
244,15.0,I am sad when I don't have sex.,"Ich bin traurig, wenn ich keinen Sex habe",,
248,12.0,I focused on improving our family's financial well-being.,"Ich habe mich darauf konzentriert, das finanzielle Wohlergehen unserer Familie zu verbessern",,
250,14.0,I hung out with some college dudes yesterday.,Ich habe gestern mit ein paar College-Jungs rumgehangen,,
252,7.0,I've been told that I had beautiful eyes when I was younger.,"Mir wurde gesagt, dass ich schöne Augen hatte, als ich jünger war",,
253,6.0,"After the break-up, I had to see a psychologist.",Nach der Trennung musste ich zu einem Psychologen,,
255,3.0,I hosted the event at home and served the guests myself.,Ich habe die Veranstaltung zu Hause ausgerichtet und die Gäste selbst bedient,,
256,6.0,"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.","Ich fand es schwierig, im Fitnessstudio schwere Gewichte zu heben, da mir meine körperliche Schwäche bewusst war",,
257,13.0,I like when my employees listen to what I say.,"Ich mag es, wenn meine Mitarbeiter mir zuhören",,
258,12.0,I prioritised my family's financial stability.,Die finanzielle Stabilität meiner Familie hat für mich oberste Priorität,,
259,12.0,I started saving up money years ago so we can buy a house soon.,"Ich habe vor Jahren angefangen, Geld zu sparen, damit wir bald ein Haus kaufen können",,
260,1.0,"I am aware that credit cards are bad, but I just love shopping.","Mir ist bewusst, dass Kreditkarten schlecht sind, aber ich liebe es einfach, einzukaufen",,
261,2.0,Today I bought a basket so we could go on a picnic.,"Heute habe ich einen Korb gekauft, damit wir ein Picknick machen können",,
262,9.0,I could easily swim across that whole lake.,Ich könnte den ganzen See problemlos durchschwimmen,,
264,13.0,"As a team leader, I was very successful and often praised by my supervisors.",,Als Teamleiter war ich sehr erfolgreich und wurde von meinen Vorgesetzten oft gelobt,Als Teamleiterin war ich sehr erfolgreich und wurde von meinen Vorgesetzten oft gelobt
265,6.0,I went for a run but gave up after 10 minutes.,"Ich bin laufen gegangen, habe aber nach 10 Minuten aufgegeben",,
266,8.0,I was driving so fast.,Ich bin so schnell gefahren,,
268,3.0,I have met a lot of great people through volunteering.,Ich habe durch meine Freiwilligenarbeit viele tolle Leute kennengelernt,,
269,9.0,I have always been able to motivate others.,Ich konnte andere schon immer motivieren,,
270,3.0,I decided to walk the shelter dogs at least once a month.,"Ich habe beschlossen, mindestens einmal im Monat mit den Hunden im Tierheim spazieren zu gehen",,
271,15.0,"I would like to kiss you, are you alright with it?","Ich würde dich gerne küssen, bist du damit einverstanden",,
273,3.0,I always took care of other people's problems.,Ich habe mich immer um die Probleme anderer Leute gekümmert,,
274,13.0,I don't like being told how to do my job.,"Ich lasse mich nicht gerne sagen, wie ich meine Arbeit zu machen habe",,
275,4.0,I like doing dishes whilst listening to podcasts.,"Ich spüle gern das Geschirr, während ich Podcasts höre",,
